"event","date","city","state","killed","injured","total","day","month","year","yearmonth","source","citystate"
2743269,2023-10-29,"Wiggins","Mississippi",3,1,4,"Sunday","10","2023","2023-10","Gun Violence Archive","Mississippi-Wiggins"
2743031,2023-10-29,"Azusa","California",4,0,4,"Sunday","10","2023","2023-10","Gun Violence Archive","California-Azusa"
2742572,2023-10-28,"Las Cruces","New Mexico",7,0,7,"Saturday","10","2023","2023-10","Gun Violence Archive","New Mexico-Las Cruces"
2742231,2023-10-28,"Lake Charles","Louisiana",6,0,6,"Saturday","10","2023","2023-10","Gun Violence Archive","Louisiana-Lake Charles"
2742471,2023-10-28,"Chula Vista","California",4,0,4,"Saturday","10","2023","2023-10","Gun Violence Archive","California-Chula Vista"
2742414,2023-10-28,"Decatur","Georgia",4,0,4,"Saturday","10","2023","2023-10","Gun Violence Archive","Georgia-Decatur"
2741949,2023-10-28,"Texarkana","Texas",3,3,6,"Saturday","10","2023","2023-10","Gun Violence Archive","Texas-Texarkana"
2741453,2023-10-28,"Chicago","Illinois",4,0,4,"Saturday","10","2023","2023-10","Gun Violence Archive","Illinois-Chicago"
2741772,2023-10-28,"Cumberland","Maryland",3,1,4,"Saturday","10","2023","2023-10","Gun Violence Archive","Maryland-Cumberland"
2746094,2023-10-27,"Little Rock","Arkansas",4,1,5,"Friday","10","2023","2023-10","Gun Violence Archive","Arkansas-Little Rock"
2741490,2023-10-27,"Mansfield","Ohio",4,2,6,"Friday","10","2023","2023-10","Gun Violence Archive","Ohio-Mansfield"
2739575,2023-10-26,"Clinton","North Carolina",0,5,5,"Thursday","10","2023","2023-10","Gun Violence Archive","North Carolina-Clinton"
2738185,2023-10-25,"Lewiston","Maine",13,18,31,"Wednesday","10","2023","2023-10","Gun Violence Archive","Maine-Lewiston"
2737798,2023-10-24,"Greenville","North Carolina",3,1,4,"Tuesday","10","2023","2023-10","Gun Violence Archive","North Carolina-Greenville"
2736792,2023-10-23,"Chicago","Illinois",3,1,4,"Monday","10","2023","2023-10","Gun Violence Archive","Illinois-Chicago"
2737647,2023-10-23,"Durango","Colorado",3,1,4,"Monday","10","2023","2023-10","Gun Violence Archive","Colorado-Durango"
2735504,2023-10-22,"Meridian","Mississippi",3,1,4,"Sunday","10","2023","2023-10","Gun Violence Archive","Mississippi-Meridian"
2735299,2023-10-22,"Pine Bluff","Arkansas",3,1,4,"Sunday","10","2023","2023-10","Gun Violence Archive","Arkansas-Pine Bluff"
2735026,2023-10-21,"College Station","Texas",4,0,4,"Saturday","10","2023","2023-10","Gun Violence Archive","Texas-College Station"
2735343,2023-10-21,"Borger","Texas",3,1,4,"Saturday","10","2023","2023-10","Gun Violence Archive","Texas-Borger"
2735073,2023-10-21,"Santa Maria","California",3,1,4,"Saturday","10","2023","2023-10","Gun Violence Archive","California-Santa Maria"
2735271,2023-10-21,"Fayetteville","North Carolina",3,1,4,"Saturday","10","2023","2023-10","Gun Violence Archive","North Carolina-Fayetteville"
2449653,2022-10-31,"Chicago","Illinois",13,1,14,"Monday","10","2022","2022-10","Gun Violence Archive","Illinois-Chicago"
2448898,2022-10-30,"Memphis","Tennessee",3,1,4,"Sunday","10","2022","2022-10","Gun Violence Archive","Tennessee-Memphis"
2448366,2022-10-30,"Aurora","Colorado",0,4,4,"Sunday","10","2022","2022-10","Gun Violence Archive","Colorado-Aurora"
2448287,2022-10-30,"Philadelphia","Pennsylvania",6,0,6,"Sunday","10","2022","2022-10","Gun Violence Archive","Pennsylvania-Philadelphia"
2448361,2022-10-30,"Covina","California",2,2,4,"Sunday","10","2022","2022-10","Gun Violence Archive","California-Covina"
2448372,2022-10-30,"Charleston","South Carolina",4,0,4,"Sunday","10","2022","2022-10","Gun Violence Archive","South Carolina-Charleston"
2448015,2022-10-29,"Orlando","Florida",6,0,6,"Saturday","10","2022","2022-10","Gun Violence Archive","Florida-Orlando"
2448330,2022-10-29,"Tallahassee","Florida",8,1,9,"Saturday","10","2022","2022-10","Gun Violence Archive","Florida-Tallahassee"
2447980,2022-10-28,"Toledo","Ohio",2,2,4,"Friday","10","2022","2022-10","Gun Violence Archive","Ohio-Toledo"
2447379,2022-10-28,"Pittsburgh","Pennsylvania",5,0,5,"Friday","10","2022","2022-10","Gun Violence Archive","Pennsylvania-Pittsburgh"
2447217,2022-10-27,"Broken Arrow","Oklahoma",0,7,7,"Thursday","10","2022","2022-10","Gun Violence Archive","Oklahoma-Broken Arrow"
2445686,2022-10-25,"Hamilton","Ohio",2,2,4,"Tuesday","10","2022","2022-10","Gun Violence Archive","Ohio-Hamilton"
2445939,2022-10-25,"Greensboro","North Carolina",4,2,6,"Tuesday","10","2022","2022-10","Gun Violence Archive","North Carolina-Greensboro"
2443849,2022-10-24,"Chicago","Illinois",3,1,4,"Monday","10","2022","2022-10","Gun Violence Archive","Illinois-Chicago"
2443879,2022-10-24,"Saint Louis","Missouri",4,2,6,"Monday","10","2022","2022-10","Gun Violence Archive","Missouri-Saint Louis"
2443627,2022-10-23,"Brownsville","Texas",5,0,5,"Sunday","10","2022","2022-10","Gun Violence Archive","Texas-Brownsville"
2443194,2022-10-23,"Chicago","Illinois",2,3,5,"Sunday","10","2022","2022-10","Gun Violence Archive","Illinois-Chicago"
2443276,2022-10-23,"Milwaukee","Wisconsin",4,0,4,"Sunday","10","2022","2022-10","Gun Violence Archive","Wisconsin-Milwaukee"
2442695,2022-10-22,"Milwaukee","Wisconsin",6,0,6,"Saturday","10","2022","2022-10","Gun Violence Archive","Wisconsin-Milwaukee"
2443257,2022-10-22,"Oxford","North Carolina",6,0,6,"Saturday","10","2022","2022-10","Gun Violence Archive","North Carolina-Oxford"
2443287,2022-10-22,"Cordele","Georgia",4,0,4,"Saturday","10","2022","2022-10","Gun Violence Archive","Georgia-Cordele"
2443231,2022-10-22,"Phoenix","Arizona",7,1,8,"Saturday","10","2022","2022-10","Gun Violence Archive","Arizona-Phoenix"
2450590,2022-10-21,"Cleveland","Mississippi",3,1,4,"Friday","10","2022","2022-10","Gun Violence Archive","Mississippi-Cleveland"
2442632,2022-10-21,"New Orleans","Louisiana",3,1,4,"Friday","10","2022","2022-10","Gun Violence Archive","Louisiana-New Orleans"
2444683,2022-10-21,"Hartland","Wisconsin",0,4,4,"Friday","10","2022","2022-10","Gun Violence Archive","Wisconsin-Hartland"
2163617,2021-11-09,"Scotland","South Dakota",2,3,5,"Tuesday","11","2021","2021-11","Gun Violence Archive","South Dakota-Scotland"
2162196,2021-11-08,"Victoria","Texas",1,3,4,"Monday","11","2021","2021-11","Gun Violence Archive","Texas-Victoria"
2162269,2021-11-08,"Philadelphia","Pennsylvania",4,0,4,"Monday","11","2021","2021-11","Gun Violence Archive","Pennsylvania-Philadelphia"
2161323,2021-11-07,"Kenosha","Wisconsin",3,1,4,"Sunday","11","2021","2021-11","Gun Violence Archive","Wisconsin-Kenosha"
2161116,2021-11-06,"Oakley","California",2,2,4,"Saturday","11","2021","2021-11","Gun Violence Archive","California-Oakley"
2160608,2021-11-06,"Marshall","Texas",6,0,6,"Saturday","11","2021","2021-11","Gun Violence Archive","Texas-Marshall"
2161078,2021-11-06,"Highland","California",4,0,4,"Saturday","11","2021","2021-11","Gun Violence Archive","California-Highland"
2160838,2021-11-05,"Oakland","California",3,1,4,"Friday","11","2021","2021-11","Gun Violence Archive","California-Oakland"
2158417,2021-11-03,"Norfolk","Virginia",2,3,5,"Wednesday","11","2021","2021-11","Gun Violence Archive","Virginia-Norfolk"
2158524,2021-11-03,"Des Moines","Iowa",4,0,4,"Wednesday","11","2021","2021-11","Gun Violence Archive","Iowa-Des Moines"
2157991,2021-11-02,"Mobile","Alabama",4,0,4,"Tuesday","11","2021","2021-11","Gun Violence Archive","Alabama-Mobile"
2157206,2021-11-01,"San Antonio","Texas",4,0,4,"Monday","11","2021","2021-11","Gun Violence Archive","Texas-San Antonio"
2156175,2021-11-01,"Orlando","Florida",4,0,4,"Monday","11","2021","2021-11","Gun Violence Archive","Florida-Orlando"
2155369,2021-10-31,"Louisville","Kentucky",2,2,4,"Sunday","10","2021","2021-10","Gun Violence Archive","Kentucky-Louisville"
2155517,2021-10-31,"Littleton (Lakewood)","Colorado",2,2,4,"Sunday","10","2021","2021-10","Gun Violence Archive","Colorado-Littleton (Lakewood)"
2155428,2021-10-31,"Flossmoor","Illinois",3,1,4,"Sunday","10","2021","2021-10","Gun Violence Archive","Illinois-Flossmoor"
2155282,2021-10-31,"Houston","Texas",3,1,4,"Sunday","10","2021","2021-10","Gun Violence Archive","Texas-Houston"
2155329,2021-10-31,"Joliet","Illinois",11,3,14,"Sunday","10","2021","2021-10","Gun Violence Archive","Illinois-Joliet"
2156001,2021-10-31,"Fort Worth","Texas",3,1,4,"Sunday","10","2021","2021-10","Gun Violence Archive","Texas-Fort Worth"
2154851,2021-10-30,"Gilroy","California",2,2,4,"Saturday","10","2021","2021-10","Gun Violence Archive","California-Gilroy"
2154422,2021-10-30,"Decatur","Illinois",4,0,4,"Saturday","10","2021","2021-10","Gun Violence Archive","Illinois-Decatur"
2154441,2021-10-30,"Oklahoma City","Oklahoma",4,0,4,"Saturday","10","2021","2021-10","Gun Violence Archive","Oklahoma-Oklahoma City"
2154873,2021-10-30,"Sacramento","California",5,2,7,"Saturday","10","2021","2021-10","Gun Violence Archive","California-Sacramento"
2155172,2021-10-30,"Saint Petersburg","Florida",4,1,5,"Saturday","10","2021","2021-10","Gun Violence Archive","Florida-Saint Petersburg"
2155001,2021-10-30,"Texarkana","Texas",9,1,10,"Saturday","10","2021","2021-10","Gun Violence Archive","Texas-Texarkana"
1839628,2020-10-31,"Sacramento","California",4,0,4,"Saturday","10","2020","2020-10","Gun Violence Archive","California-Sacramento"
1839576,2020-10-31,"Sumner","Washington",5,0,5,"Saturday","10","2020","2020-10","Gun Violence Archive","Washington-Sumner"
1839462,2020-10-31,"Anaheim","California",4,0,4,"Saturday","10","2020","2020-10","Gun Violence Archive","California-Anaheim"
1840544,2020-10-31,"North Las Vegas","Nevada",4,0,4,"Saturday","10","2020","2020-10","Gun Violence Archive","Nevada-North Las Vegas"
1840041,2020-10-31,"College Park","Maryland",7,0,7,"Saturday","10","2020","2020-10","Gun Violence Archive","Maryland-College Park"
1839112,2020-10-30,"Waldorf","Maryland",3,1,4,"Friday","10","2020","2020-10","Gun Violence Archive","Maryland-Waldorf"
1839065,2020-10-30,"Chicago","Illinois",3,1,4,"Friday","10","2020","2020-10","Gun Violence Archive","Illinois-Chicago"
1838368,2020-10-29,"Winter Garden","Florida",4,0,4,"Thursday","10","2020","2020-10","Gun Violence Archive","Florida-Winter Garden"
1837146,2020-10-28,"Roanoke","Virginia",4,0,4,"Wednesday","10","2020","2020-10","Gun Violence Archive","Virginia-Roanoke"
1837429,2020-10-28,"Newark","New Jersey",3,1,4,"Wednesday","10","2020","2020-10","Gun Violence Archive","New Jersey-Newark"
1834216,2020-10-25,"Fort Worth","Texas",3,2,5,"Sunday","10","2020","2020-10","Gun Violence Archive","Texas-Fort Worth"
1835030,2020-10-25,"San Antonio","Texas",3,1,4,"Sunday","10","2020","2020-10","Gun Violence Archive","Texas-San Antonio"
1834280,2020-10-25,"Raleigh","North Carolina",3,1,4,"Sunday","10","2020","2020-10","Gun Violence Archive","North Carolina-Raleigh"
1834617,2020-10-24,"Greenwood","Mississippi",8,2,10,"Saturday","10","2020","2020-10","Gun Violence Archive","Mississippi-Greenwood"
1832977,2020-10-22,"Rayne","Louisiana",5,0,5,"Thursday","10","2020","2020-10","Gun Violence Archive","Louisiana-Rayne"
1832014,2020-10-22,"Miami","Florida",3,1,4,"Thursday","10","2020","2020-10","Gun Violence Archive","Florida-Miami"
1831995,2020-10-22,"Boston","Massachusetts",4,0,4,"Thursday","10","2020","2020-10","Gun Violence Archive","Massachusetts-Boston"
1831091,2020-10-22,"Baltimore","Maryland",4,0,4,"Thursday","10","2020","2020-10","Gun Violence Archive","Maryland-Baltimore"
1830875,2020-10-21,"Brooklyn","New York",5,1,6,"Wednesday","10","2020","2020-10","Gun Violence Archive","New York-Brooklyn"
1830822,2020-10-21,"Canton","Mississippi",2,2,4,"Wednesday","10","2020","2020-10","Gun Violence Archive","Mississippi-Canton"
1830092,2020-10-20,"Houston","Texas",1,3,4,"Tuesday","10","2020","2020-10","Gun Violence Archive","Texas-Houston"
1829132,2020-10-19,"Mansfield","Ohio",5,0,5,"Monday","10","2020","2020-10","Gun Violence Archive","Ohio-Mansfield"
1828796,2020-10-19,"New Orleans","Louisiana",3,1,4,"Monday","10","2020","2020-10","Gun Violence Archive","Louisiana-New Orleans"
1827437,2020-10-18,"Annapolis","Maryland",3,1,4,"Sunday","10","2020","2020-10","Gun Violence Archive","Maryland-Annapolis"
1828080,2020-10-18,"Chicago","Illinois",4,1,5,"Sunday","10","2020","2020-10","Gun Violence Archive","Illinois-Chicago"
1534704,2019-10-24,"Oklahoma City","Oklahoma",2,2,4,"Thursday","10","2019","2019-10","Gun Violence Archive","Oklahoma-Oklahoma City"
1533166,2019-10-22,"Oklahoma City (Midwest City)","Oklahoma",3,1,4,"Tuesday","10","2019","2019-10","Gun Violence Archive","Oklahoma-Oklahoma City (Midwest City)"
1531326,2019-10-21,"Sumter","South Carolina",4,0,4,"Monday","10","2019","2019-10","Gun Violence Archive","South Carolina-Sumter"
1530965,2019-10-20,"Port Arthur","Texas",3,1,4,"Sunday","10","2019","2019-10","Gun Violence Archive","Texas-Port Arthur"
1530407,2019-10-19,"Duquesne","Pennsylvania",4,0,4,"Saturday","10","2019","2019-10","Gun Violence Archive","Pennsylvania-Duquesne"
1530276,2019-10-19,"El Paso","Texas",4,1,5,"Saturday","10","2019","2019-10","Gun Violence Archive","Texas-El Paso"
1527528,2019-10-15,"Columbus","Ohio",4,0,4,"Tuesday","10","2019","2019-10","Gun Violence Archive","Ohio-Columbus"
1525999,2019-10-13,"Philadelphia","Pennsylvania",6,0,6,"Sunday","10","2019","2019-10","Gun Violence Archive","Pennsylvania-Philadelphia"
1526952,2019-10-13,"Akron","Ohio",4,0,4,"Sunday","10","2019","2019-10","Gun Violence Archive","Ohio-Akron"
1525062,2019-10-12,"Brooklyn","New York",3,3,6,"Saturday","10","2019","2019-10","Gun Violence Archive","New York-Brooklyn"
1525476,2019-10-12,"Chicago","Illinois",0,5,5,"Saturday","10","2019","2019-10","Gun Violence Archive","Illinois-Chicago"
1525408,2019-10-12,"Philadelphia","Pennsylvania",3,1,4,"Saturday","10","2019","2019-10","Gun Violence Archive","Pennsylvania-Philadelphia"
1525628,2019-10-12,"Baltimore","Maryland",3,1,4,"Saturday","10","2019","2019-10","Gun Violence Archive","Maryland-Baltimore"
1525265,2019-10-12,"Eastpointe","Michigan",5,1,6,"Saturday","10","2019","2019-10","Gun Violence Archive","Michigan-Eastpointe"
1523606,2019-10-10,"Tampa","Florida",2,2,4,"Thursday","10","2019","2019-10","Gun Violence Archive","Florida-Tampa"
1524264,2019-10-10,"Philadelphia","Pennsylvania",5,0,5,"Thursday","10","2019","2019-10","Gun Violence Archive","Pennsylvania-Philadelphia"
1522979,2019-10-09,"Lowell","Massachusetts",5,0,5,"Wednesday","10","2019","2019-10","Gun Violence Archive","Massachusetts-Lowell"
1523204,2019-10-09,"Baltimore","Maryland",3,1,4,"Wednesday","10","2019","2019-10","Gun Violence Archive","Maryland-Baltimore"
1521226,2019-10-07,"Abington","Massachusetts",0,4,4,"Monday","10","2019","2019-10","Gun Violence Archive","Massachusetts-Abington"
1520425,2019-10-06,"Evansville","Indiana",5,0,5,"Sunday","10","2019","2019-10","Gun Violence Archive","Indiana-Evansville"
1520499,2019-10-06,"Denver","Colorado",4,0,4,"Sunday","10","2019","2019-10","Gun Violence Archive","Colorado-Denver"
1520330,2019-10-06,"Kansas City","Kansas",5,4,9,"Sunday","10","2019","2019-10","Gun Violence Archive","Kansas-Kansas City"
1520547,2019-10-05,"Saint Louis","Missouri",5,0,5,"Saturday","10","2019","2019-10","Gun Violence Archive","Missouri-Saint Louis"
1519090,2019-10-03,"Roxboro","North Carolina",3,1,4,"Thursday","10","2019","2019-10","Gun Violence Archive","North Carolina-Roxboro"
1518859,2019-10-03,"Marshall","Missouri",3,1,4,"Thursday","10","2019","2019-10","Gun Violence Archive","Missouri-Marshall"
1214298,2018-09-20,"Syracuse","New York",5,0,5,"Thursday","09","2018","2018-09","Gun Violence Archive","New York-Syracuse"
1213223,2018-09-19,"Middleton","Wisconsin",4,0,4,"Wednesday","09","2018","2018-09","Gun Violence Archive","Wisconsin-Middleton"
1213836,2018-09-19,"Chicago","Illinois",4,0,4,"Wednesday","09","2018","2018-09","Gun Violence Archive","Illinois-Chicago"
1213293,2018-09-19,"Masontown","Pennsylvania",4,0,4,"Wednesday","09","2018","2018-09","Gun Violence Archive","Pennsylvania-Masontown"
1212984,2018-09-18,"New Orleans (Algiers)","Louisiana",4,0,4,"Tuesday","09","2018","2018-09","Gun Violence Archive","Louisiana-New Orleans (Algiers)"
1212567,2018-09-18,"Memphis","Tennessee",4,0,4,"Tuesday","09","2018","2018-09","Gun Violence Archive","Tennessee-Memphis"
1211659,2018-09-17,"Silver Spring","Maryland",1,3,4,"Monday","09","2018","2018-09","Gun Violence Archive","Maryland-Silver Spring"
1210742,2018-09-15,"Milwaukee","Wisconsin",4,0,4,"Saturday","09","2018","2018-09","Gun Violence Archive","Wisconsin-Milwaukee"
1209006,2018-09-12,"Bakersfield","California",0,5,5,"Wednesday","09","2018","2018-09","Gun Violence Archive","California-Bakersfield"
1208397,2018-09-11,"Chicago","Illinois",4,0,4,"Tuesday","09","2018","2018-09","Gun Violence Archive","Illinois-Chicago"
1206828,2018-09-10,"Memphis","Tennessee",5,0,5,"Monday","09","2018","2018-09","Gun Violence Archive","Tennessee-Memphis"
1206409,2018-09-09,"Elgin","Illinois",3,1,4,"Sunday","09","2018","2018-09","Gun Violence Archive","Illinois-Elgin"
1206375,2018-09-09,"Auburn","Alabama",4,1,5,"Sunday","09","2018","2018-09","Gun Violence Archive","Alabama-Auburn"
1206476,2018-09-09,"Jacksonville","Florida",4,0,4,"Sunday","09","2018","2018-09","Gun Violence Archive","Florida-Jacksonville"
1206050,2018-09-07,"Minneapolis","Minnesota",3,1,4,"Friday","09","2018","2018-09","Gun Violence Archive","Minnesota-Minneapolis"
1204538,2018-09-06,"Cincinnati","Ohio",2,3,5,"Thursday","09","2018","2018-09","Gun Violence Archive","Ohio-Cincinnati"
1204486,2018-09-04,"Albany","Georgia",4,0,4,"Tuesday","09","2018","2018-09","Gun Violence Archive","Georgia-Albany"
1202134,2018-09-02,"San Antonio","Texas",4,0,4,"Sunday","09","2018","2018-09","Gun Violence Archive","Texas-San Antonio"
1202274,2018-09-02,"Paterson","New Jersey",2,2,4,"Sunday","09","2018","2018-09","Gun Violence Archive","New Jersey-Paterson"
1202318,2018-09-02,"Birmingham","Alabama",6,0,6,"Sunday","09","2018","2018-09","Gun Violence Archive","Alabama-Birmingham"
1201885,2018-09-02,"Fort Smith","Arkansas",4,0,4,"Sunday","09","2018","2018-09","Gun Violence Archive","Arkansas-Fort Smith"
1202332,2018-09-02,"San Bernardino","California",8,0,8,"Sunday","09","2018","2018-09","Gun Violence Archive","California-San Bernardino"
1202437,2018-09-02,"Trenton","New Jersey",4,0,4,"Sunday","09","2018","2018-09","Gun Violence Archive","New Jersey-Trenton"
1201973,2018-09-01,"Fort Lauderdale (Lauderhill)","Florida",3,1,4,"Saturday","09","2018","2018-09","Gun Violence Archive","Florida-Fort Lauderdale (Lauderhill)"
1201135,2018-09-01,"Cleveland","Ohio",7,1,8,"Saturday","09","2018","2018-09","Gun Violence Archive","Ohio-Cleveland"
942628,2017-09-26,"Philadelphia","Pennsylvania",3,1,4,"Tuesday","09","2017","2017-09","Gun Violence Archive","Pennsylvania-Philadelphia"
942522,2017-09-26,"Memphis","Tennessee",4,0,4,"Tuesday","09","2017","2017-09","Gun Violence Archive","Tennessee-Memphis"
942830,2017-09-26,"Baltimore","Maryland",2,2,4,"Tuesday","09","2017","2017-09","Gun Violence Archive","Maryland-Baltimore"
941144,2017-09-24,"Baltimore","Maryland",4,0,4,"Sunday","09","2017","2017-09","Gun Violence Archive","Maryland-Baltimore"
940554,2017-09-24,"Antioch","Tennessee",7,1,8,"Sunday","09","2017","2017-09","Gun Violence Archive","Tennessee-Antioch"
940644,2017-09-24,"Syracuse","New York",4,0,4,"Sunday","09","2017","2017-09","Gun Violence Archive","New York-Syracuse"
1974755,2017-09-24,"Philadelphia","Pennsylvania",4,0,4,"Sunday","09","2017","2017-09","Gun Violence Archive","Pennsylvania-Philadelphia"
941257,2017-09-24,"Mays Landing","New Jersey",3,1,4,"Sunday","09","2017","2017-09","Gun Violence Archive","New Jersey-Mays Landing"
939834,2017-09-23,"Bakersfield","California",4,1,5,"Saturday","09","2017","2017-09","Gun Violence Archive","California-Bakersfield"
940068,2017-09-23,"Danville","Illinois",5,0,5,"Saturday","09","2017","2017-09","Gun Violence Archive","Illinois-Danville"
940142,2017-09-23,"Hartford","Connecticut",2,2,4,"Saturday","09","2017","2017-09","Gun Violence Archive","Connecticut-Hartford"
939482,2017-09-20,"Gary","Indiana",5,0,5,"Wednesday","09","2017","2017-09","Gun Violence Archive","Indiana-Gary"
936028,2017-09-17,"Detroit","Michigan",3,1,4,"Sunday","09","2017","2017-09","Gun Violence Archive","Michigan-Detroit"
935928,2017-09-17,"Petersburg","Virginia",4,1,5,"Sunday","09","2017","2017-09","Gun Violence Archive","Virginia-Petersburg"
934036,2017-09-16,"Columbia","South Carolina",7,0,7,"Saturday","09","2017","2017-09","Gun Violence Archive","South Carolina-Columbia"
933957,2017-09-15,"Chicago","Illinois",0,4,4,"Friday","09","2017","2017-09","Gun Violence Archive","Illinois-Chicago"
932526,2017-09-13,"Memphis","Tennessee",5,1,6,"Wednesday","09","2017","2017-09","Gun Violence Archive","Tennessee-Memphis"
932181,2017-09-13,"Rockford","Washington",3,1,4,"Wednesday","09","2017","2017-09","Gun Violence Archive","Washington-Rockford"
932906,2017-09-13,"York","Pennsylvania",4,0,4,"Wednesday","09","2017","2017-09","Gun Violence Archive","Pennsylvania-York"
932619,2017-09-13,"Philadelphia","Pennsylvania",4,0,4,"Wednesday","09","2017","2017-09","Gun Violence Archive","Pennsylvania-Philadelphia"
930569,2017-09-10,"Plano","Texas",1,8,9,"Sunday","09","2017","2017-09","Gun Violence Archive","Texas-Plano"
930266,2017-09-10,"New Orleans","Louisiana",3,1,4,"Sunday","09","2017","2017-09","Gun Violence Archive","Louisiana-New Orleans"
931139,2017-09-09,"Selma","Alabama",4,0,4,"Saturday","09","2017","2017-09","Gun Violence Archive","Alabama-Selma"
928380,2017-09-06,"Chicago","Illinois",4,0,4,"Wednesday","09","2017","2017-09","Gun Violence Archive","Illinois-Chicago"
927277,2017-09-04,"Bellwood","Illinois",4,0,4,"Monday","09","2017","2017-09","Gun Violence Archive","Illinois-Bellwood"
685379,2016-10-25,"Dayton","Ohio",3,1,4,"Tuesday","10","2016","2016-10","Gun Violence Archive","Ohio-Dayton"
684130,2016-10-25,"Roanoke","Virginia",3,1,4,"Tuesday","10","2016","2016-10","Gun Violence Archive","Virginia-Roanoke"
683142,2016-10-23,"Wellston","Oklahoma",4,1,5,"Sunday","10","2016","2016-10","Gun Violence Archive","Oklahoma-Wellston"
682298,2016-10-22,"Oakland","California",7,0,7,"Saturday","10","2016","2016-10","Gun Violence Archive","California-Oakland"
679290,2016-10-18,"San Francisco","California",4,0,4,"Tuesday","10","2016","2016-10","Gun Violence Archive","California-San Francisco"
678438,2016-10-17,"Chicago (Englewood)","Illinois",4,1,5,"Monday","10","2016","2016-10","Gun Violence Archive","Illinois-Chicago (Englewood)"
677293,2016-10-15,"Mobile","Alabama",5,0,5,"Saturday","10","2016","2016-10","Gun Violence Archive","Alabama-Mobile"
676686,2016-10-15,"Rockford","Illinois",5,1,6,"Saturday","10","2016","2016-10","Gun Violence Archive","Illinois-Rockford"
676663,2016-10-15,"Los Angeles","California",11,4,15,"Saturday","10","2016","2016-10","Gun Violence Archive","California-Los Angeles"
676376,2016-10-14,"Chicago","Illinois",6,1,7,"Friday","10","2016","2016-10","Gun Violence Archive","Illinois-Chicago"
675993,2016-10-13,"Chicago","Illinois",4,0,4,"Thursday","10","2016","2016-10","Gun Violence Archive","Illinois-Chicago"
672203,2016-10-09,"Grand Rapids","Michigan",8,1,9,"Sunday","10","2016","2016-10","Gun Violence Archive","Michigan-Grand Rapids"
672217,2016-10-09,"Sacramento","California",3,1,4,"Sunday","10","2016","2016-10","Gun Violence Archive","California-Sacramento"
671717,2016-10-08,"Brooklyn","New York",4,0,4,"Saturday","10","2016","2016-10","Gun Violence Archive","New York-Brooklyn"
669777,2016-10-04,"New Orleans","Louisiana",2,3,5,"Tuesday","10","2016","2016-10","Gun Violence Archive","Louisiana-New Orleans"
668407,2016-10-03,"Minneapolis","Minnesota",4,0,4,"Monday","10","2016","2016-10","Gun Violence Archive","Minnesota-Minneapolis"
667984,2016-10-02,"San Antonio","Texas",4,1,5,"Sunday","10","2016","2016-10","Gun Violence Archive","Texas-San Antonio"
668279,2016-10-01,"Pembroke Township","Illinois",0,4,4,"Saturday","10","2016","2016-10","Gun Violence Archive","Illinois-Pembroke Township"
668352,2016-10-01,"Fresno","California",4,0,4,"Saturday","10","2016","2016-10","Gun Violence Archive","California-Fresno"
665995,2016-09-29,"San Francisco","California",3,1,4,"Thursday","09","2016","2016-09","Gun Violence Archive","California-San Francisco"
663624,2016-09-26,"Winston Salem (Winston-salem)","North Carolina",4,0,4,"Monday","09","2016","2016-09","Gun Violence Archive","North Carolina-Winston Salem (Winston-salem)"
663789,2016-09-26,"Humble","Texas",4,0,4,"Monday","09","2016","2016-09","Gun Violence Archive","Texas-Humble"
663106,2016-09-26,"Houston","Texas",6,0,6,"Monday","09","2016","2016-09","Gun Violence Archive","Texas-Houston"
662548,2016-09-25,"Champaign","Illinois",3,1,4,"Sunday","09","2016","2016-09","Gun Violence Archive","Illinois-Champaign"
662342,2016-09-24,"Baltimore","Maryland",8,0,8,"Saturday","09","2016","2016-09","Gun Violence Archive","Maryland-Baltimore"
419250,2015-09-23,"Shreveport","Louisiana",5,0,5,"Wednesday","09","2015","2015-09","Gun Violence Archive","Louisiana-Shreveport"
419826,2015-09-23,"Norcross","Georgia",3,1,4,"Wednesday","09","2015","2015-09","Gun Violence Archive","Georgia-Norcross"
417013,2015-09-20,"Tulsa","Oklahoma",6,0,6,"Sunday","09","2015","2015-09","Gun Violence Archive","Oklahoma-Tulsa"
417284,2015-09-20,"Philadelphia","Pennsylvania",3,1,4,"Sunday","09","2015","2015-09","Gun Violence Archive","Pennsylvania-Philadelphia"
416872,2015-09-20,"Chicago","Illinois",5,1,6,"Sunday","09","2015","2015-09","Gun Violence Archive","Illinois-Chicago"
416812,2015-09-19,"Indianapolis","Indiana",3,1,4,"Saturday","09","2015","2015-09","Gun Violence Archive","Indiana-Indianapolis"
418318,2015-09-17,"Geddes","South Dakota",0,5,5,"Thursday","09","2015","2015-09","Gun Violence Archive","South Dakota-Geddes"
415687,2015-09-17,"Albion","Michigan",4,0,4,"Thursday","09","2015","2015-09","Gun Violence Archive","Michigan-Albion"
414580,2015-09-15,"Newark","New Jersey",4,0,4,"Tuesday","09","2015","2015-09","Gun Violence Archive","New Jersey-Newark"
413001,2015-09-13,"Ocala","Florida",5,1,6,"Sunday","09","2015","2015-09","Gun Violence Archive","Florida-Ocala"
412996,2015-09-12,"Shreveport","Louisiana",4,0,4,"Saturday","09","2015","2015-09","Gun Violence Archive","Louisiana-Shreveport"
412487,2015-09-12,"Rochester","New York",3,2,5,"Saturday","09","2015","2015-09","Gun Violence Archive","New York-Rochester"
